33638608	1
33641076	1
33660612	1
33660908	1
33667696	1
33667772	1
33667844	1
33672944	1
33684096	1
33694216	1
33698320	1
33715316	1
33719140	1
33724020	1
33743736	1
33754020	1
33755480	1
33759856	1
33768172	1
33783924	1
33795040	1
33799992	1
33802036	1
33830440	1
33837360	1
33855404	1
33857632	1
33858952	1
33859880	1
33862412	1
33868764	1
33872452	1
33882684	1
33888468	1
33890564	1
33900004	1
33908936	1
33908944	1
33908956	1
33908960	1
33908964	1
33908976	1
33908984	1
33908988	1
33909132	1
33927520	1
33927556	1
33927560	1
33927564	1
33927568	1
33927572	1
33927576	1
33927584	1
33927592	1
33927600	1
33927604	1
33927608	1
33927612	2
33927616	1
33927620	1
33927632	1
33927648	1
33927672	2
33927684	1
33927688	1
33927700	1
33927704	1
33927708	1
33927716	1
33927732	1
33927736	1
33927740	2
33927748	1
33927760	1
33927764	1
33927772	1
33927776	1
33927780	1
33927784	1
33927788	1
33927792	1
33927800	1
33927804	2
33927812	1
33927820	1
33927824	1
33944916	1
33950500	1
33950508	1
33950764	1
33958744	1
33968740	1
33969116	1
33977832	1
33979656	1
33980212	1
33980268	1
33981056	1
33981064	1
33981068	1
33981072	1
33981080	1
33981084	1
33981088	1
33983064	1
33983076	1
33983084	1
33983092	1
33983100	2
33983108	1
33983116	1
33983120	1
33983128	1
33983140	1
33983148	1
33983164	2
33983172	1
33983188	1
33983192	1
33983196	1
33983204	1
33983216	1
33983228	2
33983232	1
33983236	1
33983240	1
33983256	1
33983264	1
33983268	1
33983272	1
33983276	1
33983280	1
33983960	1
33987344	1
33989244	1
33995352	1
33999104	1
34000288	1
34007944	1
34012760	1
34041320	1
34041332	1
34041340	2
34041356	1
34041364	1
34041368	1
34041372	1
34041384	1
34041392	1
34041396	1
34041400	2
34041412	1
34041416	1
34041420	1
34041424	1
34041428	1
34041436	1
34041440	1
34041444	1
34041452	1
34041460	1
34050524	1
34081772	1
34084228	1
34084368	1
34084820	1
34086336	1
34087420	1
34088320	1
34104308	1
34114624	1
34130864	1
34132532	1
34156112	1
34163088	1
34164924	1
34167204	1
34167208	1
34167216	1
34167220	1
34167228	2
34167240	1
34167248	1
34167252	1
34176092	1
34178344	1
34178740	1
34178748	2
34178752	1
34178756	1
34178760	1
34178764	1
34178772	1
34178780	1
34178784	1
34178788	1
34178792	1
34178808	1
34178812	2
34178820	1
34178824	1
34178828	1
34178844	1
34178852	1
34178856	1
34178860	1
34178864	1
34178872	1
34178876	1
34185380	1
34187900	1
34189716	1
34221764	1
34224792	1
34226432	1
34229340	1
34230368	1
34235712	1
34248292	1
34253580	1
34266728	1
34283896	1
34290244	1
34291532	1
34302996	1
34303004	1
34303016	1
34303024	1
34303028	1
34303036	2
34303040	1
34303052	1
34303056	1
34303060	1
34303076	1
34303088	1
34303096	2
34303104	1
34303108	1
34303112	1
34303116	1
34303124	1
34303132	1
34303140	1
34303152	1
34303160	1
